color,r,g,b,l
small white,123.6,153.8,91.6,27.6
small white,131.6,163,101.6,30
small white,131.8,164.2,102,29.8
small white,132,163.4,102,29.6
small white,135.8,167.4,105.4,30.4
small white,125.2,154.2,92.8,28
small white,120,150.2,93.4,27
small white,106.4,133,87.6,24
small yellow,133.4,95.2,17.8,30
small yellow,133,95,17.4,30
small yellow,142.4,102.2,17.8,32
small yellow,142.8,102,17.8,32
small yellow,142.8,102.2,17.4,32
small yellow,139,98.8,16.4,31
small yellow,139,98.8,16.2,31
small yellow,138.8,99,16.2,31
small yellow,136.4,99.8,17.4,31
small yellow,140.6,109.2,17.4,32
small yellow,135.6,95.6,18.6,30
small yellow,135,95.2,18.6,30
small yellow,142.2,105.2,18,32
small yellow,142.2,105.4,17.8,32
small yellow,142,105.2,17.6,32
small yellow,142,105.6,17.8,32
small yellow,140.6,104.2,16.6,32
small yellow,140.6,104.4,17.2,32
small yellow,135.4,99.4,20,30
small yellow,134.8,99,19.8,30
small yellow,134.8,99.4,19.6,30
small yellow,140,104.4,17.6,31.8
small yellow,140.8,100.4,17.4,31.6
small yellow,140,100,17.6,31.6
small yellow,139.2,99.8,17.6,31.2
small yellow,139.8,99.8,17.8,31.2
steel,46.8,56.2,31.2,10
steel,46.8,56,31.4,10
steel,46.4,56.2,31.4,10
steel,48,56.2,32.2,10.8
steel,51.4,62.4,31.4,11
steel,50.8,63,31.6,11
steel,51,62.6,31.4,11
steel,47.4,57.4,30.4,10
steel,49.4,62.4,31.6,11
steel,49.6,61.6,31.6,11
steel,52,59.8,34.6,11.4
steel,44,53.4,28,10
steel,51.6,62.6,33.8,11.2
steel,51.8,62.2,33.8,11
steel,52.2,62.6,34.2,11
steel,51.6,62.2,33.8,11
steel,43.8,53.8,27.8,10
steel,44.6,54,28,10
steel,44.2,53.8,27.8,10
steel,49.2,57.6,31.6,11
steel,49,57.8,31.8,11
steel,45.6,57.2,29.6,10
steel,45.2,57,29.6,10
steel,45.2,56.6,29.2,10
steel,45.4,57,29.2,10
steel,51.2,61,31.8,11
zground,14.4,14.8,10.8,3
zground,14.6,14.6,10.6,3
zground,14,14.6,10.6,3
zground,14.4,14.6,10.6,3
zground,14.8,15,11,3
zground,14.4,14.6,10.6,3
zground,14.8,15,11,3
zground,14.4,14.6,10.6,3
zground,14.6,15,11,3
zground,14.2,14.4,10.4,3
zground,15,15,11,3
zground,14.4,14.8,10.8,3
zground,14.4,14.6,10.6,3
zground,14.2,14.6,10.6,3
zground,14.8,14.8,10.8,3
zground,14.6,15,11,3
zground,14.4,14.4,10.4,3
zground,14.6,14.8,10.8,3
zground,14.4,14.8,10.4,3
zground,14.2,14.4,10.4,3
zground,14.6,14.8,10.8,3
zground,14.4,14.6,10.6,3
zground,14.8,14.8,10.8,3
zground,15,15,11,3
